 (Half Day),（半天）
Cost Center is required for 'Profit and Loss' account {0},'损益'账户{0}的成本中心是必需的
Cost Center is required in row {0} in Taxes table for type {1},类型{1}在税率表的行{0}的成本中心必须的
Cost Center with existing transactions can not be converted to group,现有交易的成本中心不能转化为组
Cost Center with existing transactions can not be converted to ledger,现有交易的成本中心不能转化为分类账
Cost Center {0} does not belong to Company {1},成本中心{0}不属于公司{1}
Cost of Goods Sold,销货成本
Costing,成本核算
Country,国家
Country Name,国家名称
Country wise default Address Templates,国家层面默认地址模板
"Country, Timezone and Currency",国家时区和货币
Create Bank Voucher for the total salary paid for the above selected criteria, 基于所选条件为已付薪金创建银行凭证
Create Customer,创建客户
Create Material Requests,创建物料需求
Create New,创建新的
Create Opportunity,创建机会
Create Production Orders,创建生产订单
Create Quotation,创建报价
Create Receiver List,创建接收列表
Create Salary Slip,创建工资单
Create Stock Ledger Entries when you submit a Sales Invoice,当提交销售发票时创建库存分类账条目
"Create and manage daily, weekly and monthly email digests.",创建和管理每日每周和每月的电子邮件摘要
Create rules to restrict transactions based on values.,基于价值来创建规则来限制交易
Created By,创建人
Creates salary slip for above mentioned criteria.,根据上面提到的标准创建工资单
Creation Date,创建日期
Creation Document No,创建档案编号
Creation Document Type,创建档案类型
Creation Time,创建时间
Credentials,证书
Credit,贷
Credit Amt,信用额
Credit Card,信用卡
Credit Card Voucher,信用卡凭证
Credit Controller,信用控制角色
Credit Days,信用天数
Credit Limit,信用额度
Credit Note,贷项通知单
Credit To,Credit To
Currency,货币
Currency Exchange,货币兑换
Currency Name,货币名称
Currency Settings,货币设置
Currency and Price List,货币和价目表
Currency exchange rate master.,货币汇率的基础数据
Current Address,当前地址
Current Address Is,当前地址类型
Current Assets,流动资产
Current BOM,当前物料清单（BOM）
Current BOM and New BOM can not be same,当前物料清单和新的物料清单不能相同
Current Fiscal Year,当前会计年度
Current Liabilities,流动负债
Current Stock,当前库存
Current Stock UOM,当前库存计量单位
Current Value,当前值
Custom,自定义
Custom Autoreply Message,自定义自动回复消息
Custom Message,自定义消息
Customer,客户
Customer (Receivable) Account,客户(应收)帐
Customer / Item Name,客户/项目名称
Customer / Lead Address,客户/机会地址
Customer / Lead Name,客户/机会名称
Customer > Customer Group > Territory,客户>客户组>区域
Customer Account Head,客户户头
Customer Acquisition and Loyalty,客户获得以及忠诚度
Customer Address,客户地址
Customer Addresses And Contacts,客户地址和联系方式
Customer Addresses and Contacts,客户地址和联系方式
Customer Code,客户代码
Customer Codes,客户代码
Customer Details,客户详细信息
Customer Feedback,客户反馈
Customer Group,客户组
Customer Group / Customer,客户组/客户
Customer Group Name,客户群组名称
Customer Intro,客户简介
Customer Issue,工单
Customer Issue against Serial No.,客户报修
Customer Name,客户名称
Customer Naming By,客户命名方式
Customer Service,顾客服务
Customer database.,客户数据库
Customer is required,客户是必须的
Customer master.,客户基础数据
Customer required for 'Customerwise Discount','客户智能折扣'的客户是必须的
Customer {0} does not belong to project {1},客户{0}不属于项目{1}
Customer {0} does not exist,客户{0}不存在
Customer's Item Code,客户的产品编号
Customer's Purchase Order Date,客户的采购订单日期
Customer's Purchase Order No,客户的采购订单号
Customer's Purchase Order Number,客户的采购订单编号
Customer's Vendor,客户的供应商
Customers Not Buying Since Long Time,很长时间未进行购买的客户
Customerwise Discount,客户智能折扣
Customize,定制
Customize the Notification,自定义通知
Customize the introductory text that goes as a part of that email. Each transaction has a separate introductory text.,自定义邮件中的介绍部分html;每个交易都可以有介绍文字
DN Detail,DN明细
Daily,每日
Daily Time Log Summary,每日时间记录汇总
Database Folder ID,数据库文件夹的ID
Database of potential customers.,潜在客户数据库
Date,日期
Date Format,日期格式
Date Of Retirement,退休日
Date Of Retirement must be greater than Date of Joining,退休日期必须大于加入的日期
Date is repeated,日期重复
Date of Birth,出生日期
Date of Issue,发行日期
Date of Joining,加入日期
Date of Joining must be greater than Date of Birth,加入日期必须大于出生日期
Date on which lorry started from supplier warehouse,货车从供应商的仓库开始上货日期
Date on which lorry started from your warehouse,货车从本仓库开始上货日期
Dates,日期
Days Since Last Order,天过去了从上次下单至今
Days for which Holidays are blocked for this department.,假期不能申请休假的日期的部门
Dealer,经销商(商家)
Debit,借
Debit Amt,借记额
Debit Note,借项通知单
Debit To,借记给
Debit and Credit not equal for this voucher. Difference is {0}.,这个凭证的借记和贷记不相等;不同的是{0}
Deduct,减少
Deduction,扣除
Deduction Type,扣除类型
Deduction1,Deduction1
Deductions,扣除
Default,默认
Default Account,默认帐户
Default Address Template cannot be deleted,默认地址模板不能被删除
Default Amount,默认金额
Default BOM,默认的物料清单
Default Bank / Cash account will be automatically updated in POS Invoice when this mode is selected.,当选择此模式后;默认银行/现金帐户将自动在POS机发票时更新
Default Bank Account,默认银行账户
Default Buying Cost Center,默认采购成本中心
Default Buying Price List,默认采购价目表
Default Cash Account,默认的现金账户
Default Company,默认公司
Default Currency,默认货币
Default Customer Group,默认客户组
Default Expense Account,默认支出账户
Default Income Account,默认收入账户
Default Item Group,默认商品组
Default Price List,默认价目表
Default Purchase Account in which cost of the item will be debited.,该商品的成本将从默认购买帐户中被扣除
Default Selling Cost Center,默认销售成本中心
Default Settings,默认设置
Default Source Warehouse,默认源仓库
Default Stock UOM,默认库存计量单位
Default Supplier,默认供应商
Default Supplier Type,默认的供应商类别
Default Target Warehouse,默认目标仓库
Default Territory,默认区域
Default Unit of Measure,默认计量单位
"Default Unit of Measure can not be changed directly because you have already made some transaction(s) with another UOM. To change default UOM, use 'UOM Replace Utility' tool under Stock module.",默认的单位不能被更改;因为有一些交易用了其它的计量单位.你可以在库存模块中使用单位替换工具来改变默认的计量单位
Default Valuation Method,默认的估算方法
Default Warehouse,默认仓库
Default Warehouse is mandatory for stock Item.,库存的商品必须指定默认仓库
Default settings for accounting transactions.,会计事务的默认设置
Default settings for buying transactions.,买入交易的默认设置
Default settings for selling transactions.,卖出交易的默认设置
Default settings for stock transactions.,库存事务的默认设置
Defense,国防
"Define Budget for this Cost Center. To set budget action, see <a href=""#!List/Company"">Company Master</a>","定义成本中心的预算，设置预算请参考<a href=""#!List/Company"">公司基础数据</a>"
Del,删除
Delete,删除
Delete {0} {1}?,删除{0} {1}?
Delivered,已交付
Delivered Items To Be Billed,交付的项目结算
Delivered Qty,交付数量
Delivered Serial No {0} cannot be deleted,交付编号{0}无法删除
Delivery Date,交货日期
Delivery Details,交付细节
Delivery Document No,交付档案编号
Delivery Document Type,交付档案类型
Delivery Note,发货单
Delivery Note Item,发货单清单
Delivery Note Items,发货单清单
Delivery Note Message,发货单消息
Delivery Note No,发货单号
Delivery Note Required,必须有发货单
Delivery Note Trends,发货单趋势
Delivery Note {0} is not submitted,发货单{0}未提交
Delivery Note {0} must not be submitted,发货单{0}不能被提交
Delivery Notes {0} must be cancelled before cancelling this Sales Order,这个销售订单被取消之前发货单{0}必须取消
Delivery Status,交货状态
Delivery Time,交货时间
Delivery To,交付
Department,部门
Department Stores,百货公司
Depends on LWP,基于无薪假期
Depreciation,折旧
Description,描述
Description HTML,HTML描述
Designation,职位
Designer,设计师
Detailed Breakup of the totals,总计细分
Details,详细信息
Difference (Dr - Cr),差额（Dr-Cr）
Difference Account,库存差异账户
"Difference Account must be a 'Liability' type account, since this Stock Reconciliation is an Opening Entry",差异账户必须是'负债'类型的帐户因为库存盘点是一个期初分录
Different UOM for items will lead to incorrect (Total) Net Weight value. Make sure that Net Weight of each item is in the same UOM.,不同计量单位的商品会导致不正确的(总)净重值;确保每个项目的净重是在同一个计量单位。
Direct Expenses,直接费用
Direct Income,直接收入
Disable,已禁用
Disable Rounded Total,禁用四舍五入后的总值
Disabled,禁用
Discount  %,折扣%
Discount %,折扣%
Discount (%),折扣(%)
Discount Amount,折扣金额
"Discount Fields will be available in Purchase Order, Purchase Receipt, Purchase Invoice",采购订单，采购入库单，采购发票中折扣字段均可用
Discount Percentage,折扣百分比
Discount Percentage can be applied either against a Price List or for all Price List.,折扣百分比可以应用于对一个价目表或所有价目表。
Discount must be less than 100,折扣必须小于100
Discount(%),折扣(%)
Dispatch,调度
Display all the individual items delivered with the main items,显示所有与主商品一起发货的单个商品
